Training...
episode: 100  return: -23.69   mean: -12.86  time: 7.41s
episode: 200  return: -9.95   mean: -13.67  time: 8.42s
episode: 300  return: -9.09   mean: -12.08  time: 8.14s
episode: 400  return: -8.23   mean: -9.97  time: 8.40s
episode: 500  return: -7.67   mean: -8.68  time: 8.10s
episode: 600  return: -8.36   mean: -8.51  time: 9.04s
episode: 700  return: -7.98   mean: -8.47  time: 9.28s
episode: 800  return: -6.78   mean: -8.33  time: 7.95s
episode: 900  return: -10.44   mean: -8.35  time: 8.01s
episode: 1000  return: -6.22   mean: -7.93  time: 9.17s
episode: 1100  return: -6.70   mean: -8.05  time: 8.05s
episode: 1200  return: -6.61   mean: -8.05  time: 8.70s
episode: 1300  return: -8.55   mean: -8.11  time: 9.44s
episode: 1400  return: -10.47   mean: -7.79  time: 9.53s
episode: 1500  return: -6.50   mean: -7.65  time: 8.07s
episode: 1600  return: -7.00   mean: -7.76  time: 8.89s
episode: 1700  return: -7.06   mean: -7.69  time: 9.15s
episode: 1800  return: -8.74   mean: -7.51  time: 8.22s
episode: 1900  return: -9.72   mean: -7.84  time: 8.32s
episode: 2000  return: -7.56   mean: -7.74  time: 8.24s
episode: 2100  return: -6.84   mean: -7.69  time: 8.08s
episode: 2200  return: -6.04   mean: -7.72  time: 7.70s
episode: 2300  return: -5.42   mean: -7.29  time: 7.99s
episode: 2400  return: -6.74   mean: -7.48  time: 8.25s
episode: 2500  return: -9.34   mean: -7.47  time: 8.44s
episode: 2600  return: -7.21   mean: -7.18  time: 8.22s
episode: 2700  return: -9.35   mean: -7.46  time: 8.78s
episode: 2800  return: -7.02   mean: -7.14  time: 9.41s
episode: 2900  return: -7.00   mean: -7.05  time: 8.84s
episode: 3000  return: -6.43   mean: -7.05  time: 9.05s
episode: 3100  return: -6.38   mean: -6.98  time: 9.36s
episode: 3200  return: -6.60   mean: -7.05  time: 8.52s
episode: 3300  return: -9.11   mean: -6.87  time: 8.41s
episode: 3400  return: -6.21   mean: -7.03  time: 8.45s
episode: 3500  return: -7.92   mean: -7.13  time: 8.43s
episode: 3600  return: -6.10   mean: -6.69  time: 8.47s
episode: 3700  return: -6.84   mean: -6.86  time: 8.80s
episode: 3800  return: -5.56   mean: -6.87  time: 8.12s
episode: 3900  return: -6.82   mean: -6.85  time: 8.29s
episode: 4000  return: -6.21   mean: -6.59  time: 8.16s
episode: 4100  return: -7.81   mean: -6.83  time: 8.58s
episode: 4200  return: -5.06   mean: -6.84  time: 9.08s
episode: 4300  return: -5.32   mean: -6.55  time: 8.78s
episode: 4400  return: -5.95   mean: -6.58  time: 8.19s
episode: 4500  return: -6.65   mean: -6.56  time: 8.27s
episode: 4600  return: -6.34   mean: -6.45  time: 8.72s
episode: 4700  return: -7.18   mean: -6.52  time: 8.13s
episode: 4800  return: -5.01   mean: -6.45  time: 8.22s
episode: 4900  return: -7.41   mean: -6.40  time: 8.24s
episode: 5000  return: -6.90   mean: -6.41  time: 8.18s
episode: 5100  return: -4.73   mean: -6.15  time: 8.27s
episode: 5200  return: -5.47   mean: -6.38  time: 8.23s
episode: 5300  return: -6.41   mean: -6.40  time: 8.27s
episode: 5400  return: -6.11   mean: -6.35  time: 8.21s
episode: 5500  return: -7.63   mean: -6.40  time: 8.31s
episode: 5600  return: -5.11   mean: -6.10  time: 8.38s
episode: 5700  return: -9.24   mean: -6.04  time: 8.87s
episode: 5800  return: -5.45   mean: -6.33  time: 8.99s
episode: 5900  return: -7.65   mean: -6.07  time: 8.90s
episode: 6000  return: -6.99   mean: -6.29  time: 8.89s
episode: 6100  return: -5.42   mean: -6.01  time: 8.99s
episode: 6200  return: -6.08   mean: -5.90  time: 9.03s
episode: 6300  return: -5.39   mean: -6.01  time: 8.74s
episode: 6400  return: -6.87   mean: -6.08  time: 8.75s
episode: 6500  return: -6.11   mean: -6.02  time: 8.78s
episode: 6600  return: -5.45   mean: -5.74  time: 8.65s
episode: 6700  return: -6.02   mean: -5.88  time: 8.75s
episode: 6800  return: -4.74   mean: -5.87  time: 8.90s
episode: 6900  return: -6.51   mean: -5.89  time: 8.86s
episode: 7000  return: -5.69   mean: -5.74  time: 8.84s
episode: 7100  return: -5.72   mean: -5.85  time: 8.92s
episode: 7200  return: -7.46   mean: -5.88  time: 8.82s
episode: 7300  return: -6.45   mean: -5.77  time: 8.87s
episode: 7400  return: -6.38   mean: -5.72  time: 8.92s
episode: 7500  return: -5.35   mean: -5.81  time: 8.91s
episode: 7600  return: -4.64   mean: -5.70  time: 8.88s
episode: 7700  return: -5.29   mean: -5.74  time: 9.02s
episode: 7800  return: -7.01   mean: -5.79  time: 8.96s
episode: 7900  return: -7.73   mean: -5.80  time: 8.92s
episode: 8000  return: -7.74   mean: -5.69  time: 8.92s
episode: 8100  return: -4.91   mean: -5.81  time: 9.09s
episode: 8200  return: -5.08   mean: -5.55  time: 9.05s
episode: 8300  return: -5.62   mean: -5.77  time: 9.21s
episode: 8400  return: -5.86   mean: -5.75  time: 9.69s
episode: 8500  return: -6.27   mean: -5.60  time: 10.03s
episode: 8600  return: -5.48   mean: -5.57  time: 8.74s
episode: 8700  return: -6.49   mean: -5.45  time: 8.66s
episode: 8800  return: -5.70   mean: -5.67  time: 8.65s
episode: 8900  return: -5.72   mean: -5.69  time: 8.61s
episode: 9000  return: -5.55   mean: -5.64  time: 8.64s
episode: 9100  return: -4.63   mean: -5.56  time: 8.73s
episode: 9200  return: -5.64   mean: -5.66  time: 8.67s
episode: 9300  return: -4.73   mean: -5.59  time: 8.68s
