Training...
episode: 100  return: -12.01   mean: -9.10  epsilon: 0.8869  time: 2.81s
episode: 200  return: -9.64   mean: -9.36  epsilon: 0.8737  time: 2.79s
episode: 300  return: -9.70   mean: -9.44  epsilon: 0.8608  time: 2.79s
episode: 400  return: -9.46   mean: -9.14  epsilon: 0.8480  time: 11.92s
episode: 500  return: -8.18   mean: -8.68  epsilon: 0.8353  time: 11.80s
episode: 600  return: -7.43   mean: -8.77  epsilon: 0.8228  time: 11.76s
episode: 700  return: -12.28   mean: -8.78  epsilon: 0.8105  time: 11.77s
episode: 800  return: -9.77   mean: -8.46  epsilon: 0.7983  time: 11.80s
episode: 900  return: -7.69   mean: -8.39  epsilon: 0.7862  time: 11.84s
episode: 1000  return: -6.61   mean: -8.06  epsilon: 0.7743  time: 11.78s
episode: 1100  return: -9.24   mean: -8.49  epsilon: 0.7625  time: 12.10s
episode: 1200  return: -7.76   mean: -7.89  epsilon: 0.7509  time: 11.97s
episode: 1300  return: -7.68   mean: -8.26  epsilon: 0.7394  time: 11.99s
episode: 1400  return: -9.08   mean: -8.11  epsilon: 0.7281  time: 12.00s
episode: 1500  return: -10.43   mean: -8.16  epsilon: 0.7169  time: 11.98s
episode: 1600  return: -6.43   mean: -8.01  epsilon: 0.7058  time: 12.00s
episode: 1700  return: -9.86   mean: -8.00  epsilon: 0.6949  time: 11.98s
episode: 1800  return: -10.57   mean: -8.02  epsilon: 0.6841  time: 11.96s
episode: 1900  return: -8.50   mean: -8.05  epsilon: 0.6735  time: 12.02s
episode: 2000  return: -7.50   mean: -8.02  epsilon: 0.6629  time: 14.22s
episode: 2100  return: -8.50   mean: -7.93  epsilon: 0.6525  time: 14.31s
episode: 2200  return: -11.12   mean: -7.81  epsilon: 0.6423  time: 14.27s
episode: 2300  return: -6.16   mean: -7.64  epsilon: 0.6322  time: 14.26s
episode: 2400  return: -7.65   mean: -7.88  epsilon: 0.6222  time: 14.26s
episode: 2500  return: -6.26   mean: -7.55  epsilon: 0.6123  time: 12.33s
episode: 2600  return: -7.37   mean: -7.52  epsilon: 0.6025  time: 11.78s
episode: 2700  return: -8.79   mean: -7.96  epsilon: 0.5929  time: 11.81s
episode: 2800  return: -8.60   mean: -8.10  epsilon: 0.5834  time: 11.78s
episode: 2900  return: -6.15   mean: -7.68  epsilon: 0.5740  time: 11.84s
episode: 3000  return: -6.65   mean: -7.70  epsilon: 0.5648  time: 11.84s
episode: 3100  return: -7.13   mean: -7.90  epsilon: 0.5556  time: 11.80s
episode: 3200  return: -6.28   mean: -7.68  epsilon: 0.5466  time: 11.79s
episode: 3300  return: -8.88   mean: -7.68  epsilon: 0.5377  time: 11.78s
episode: 3400  return: -8.19   mean: -7.32  epsilon: 0.5289  time: 11.79s
episode: 3500  return: -5.48   mean: -7.61  epsilon: 0.5203  time: 11.83s
episode: 3600  return: -6.97   mean: -7.52  epsilon: 0.5117  time: 11.84s
episode: 3700  return: -6.66   mean: -7.56  epsilon: 0.5033  time: 14.32s
episode: 3800  return: -9.55   mean: -7.67  epsilon: 0.4949  time: 14.44s
episode: 3900  return: -7.87   mean: -7.68  epsilon: 0.4867  time: 14.40s
episode: 4000  return: -8.45   mean: -7.60  epsilon: 0.4786  time: 14.60s
episode: 4100  return: -8.46   mean: -7.81  epsilon: 0.4706  time: 12.14s
episode: 4200  return: -6.41   mean: -7.43  epsilon: 0.4627  time: 11.86s
episode: 4300  return: -5.87   mean: -7.56  epsilon: 0.4549  time: 11.85s
episode: 4400  return: -9.55   mean: -7.52  epsilon: 0.4472  time: 12.81s
episode: 4500  return: -8.97   mean: -7.32  epsilon: 0.4397  time: 14.44s
episode: 4600  return: -6.04   mean: -7.68  epsilon: 0.4322  time: 12.89s
episode: 4700  return: -8.35   mean: -7.43  epsilon: 0.4248  time: 12.04s
episode: 4800  return: -7.05   mean: -7.51  epsilon: 0.4175  time: 11.91s
episode: 4900  return: -5.80   mean: -7.60  epsilon: 0.4104  time: 12.02s
episode: 5000  return: -6.58   mean: -7.29  epsilon: 0.4033  time: 11.95s
episode: 5100  return: -7.64   mean: -7.46  epsilon: 0.3963  time: 11.99s
episode: 5200  return: -7.29   mean: -7.48  epsilon: 0.3894  time: 12.08s
episode: 5300  return: -6.86   mean: -7.57  epsilon: 0.3826  time: 13.95s
episode: 5400  return: -6.32   mean: -7.68  epsilon: 0.3760  time: 14.45s
episode: 5500  return: -7.47   mean: -7.25  epsilon: 0.3694  time: 14.43s
episode: 5600  return: -6.73   mean: -7.57  epsilon: 0.3629  time: 14.31s
episode: 5700  return: -7.39   mean: -7.40  epsilon: 0.3565  time: 11.93s
episode: 5800  return: -6.16   mean: -7.40  epsilon: 0.3501  time: 11.94s
episode: 5900  return: -7.38   mean: -7.31  epsilon: 0.3439  time: 11.93s
episode: 6000  return: -9.07   mean: -7.37  epsilon: 0.3378  time: 11.88s
episode: 6100  return: -7.83   mean: -7.49  epsilon: 0.3317  time: 12.07s
episode: 6200  return: -7.61   mean: -7.35  epsilon: 0.3257  time: 12.22s
episode: 6300  return: -6.74   mean: -7.62  epsilon: 0.3199  time: 12.04s
episode: 6400  return: -7.40   mean: -7.15  epsilon: 0.3141  time: 12.02s
episode: 6500  return: -7.53   mean: -7.32  epsilon: 0.3084  time: 12.01s
episode: 6600  return: -6.87   mean: -7.19  epsilon: 0.3027  time: 14.12s
episode: 6700  return: -8.17   mean: -7.39  epsilon: 0.2972  time: 12.96s
episode: 6800  return: -9.03   mean: -7.56  epsilon: 0.2917  time: 11.70s
episode: 6900  return: -7.75   mean: -7.37  epsilon: 0.2864  time: 14.00s
episode: 7000  return: -6.70   mean: -7.36  epsilon: 0.2811  time: 14.53s
episode: 7100  return: -7.22   mean: -7.59  epsilon: 0.2758  time: 13.56s
episode: 7200  return: -8.35   mean: -7.45  epsilon: 0.2707  time: 11.97s
episode: 7300  return: -6.36   mean: -7.27  epsilon: 0.2656  time: 12.05s
